P(Xi|Zj) from Matt,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,SUM,,1,2,3,4,5,6,7
27961403.25,162989.9539,1784146.203,5692.210978,178942.7078,1416093.592,184439.4311,3.17E+07,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
27482890.97,217490537.9,874237.4337,274017847.2,4294448240,25032789.46,874237.4337,4.84E+09,,0.01,0.04,0.00,0.06,0.89,0.01,0.00
307015499.1,1789625.662,19589880.1,62500.33267,1964786.409,15548671.85,2025140.28,3.48E+08,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
6229317037,36311342.83,397476916.4,1268126.157,39865340.41,315481160.3,41089915.29,7.06E+09,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
1438380930,8384473.391,91779437.98,292816.7678,9205109.494,72846201.59,9487870.053,1.63E+09,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
1386468194,151048439,87919486.47,27557168658,151048439.1,151048438.7,87919486.47,2.96E+10,,0.05,0.01,0.00,0.93,0.01,0.01,0.00
37411923.42,218078.028,2387159.919,7616.089913,239422.5648,1894711.24,246777.0953,4.24E+07,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
25026484.83,14209196.47,1543017.003,1543017.011,25026484.96,14209196.46,1543016.999,8.31E+07,,0.30,0.17,0.02,0.02,0.30,0.17,0.02
459893.9774,334080.0985,28003.73848,85.09108551,4008.052368,63076.4274,45952.12504,9.35E+05,,0.49,0.36,0.03,0.00,0.00,0.07,0.05
47155.55804,369587.2729,1504.701394,4.800659151,226.1258411,3558.638682,155.5513047,4.22E+05,,0.11,0.88,0.00,0.00,0.00,0.01,0.00
4.15E+12,4.15E+12,7.52E+12,7.52E+12,4.15E+12,4.15E+12,7.52E+12,3.92E+13,,0.11,0.11,0.19,0.19,0.11,0.11,0.19
27660839.25,161237.935,1764967.977,5631.024004,177019.2087,1400871.654,182456.8464,3.14E+07,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
126720330.7,738666.1194,8085702.81,25796.9477,810963.5595,6417698.234,835874.564,1.44E+08,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
2837845730,16542100.73,181075736.4,577711.2291,18161170.07,143721512.2,18719040.94,3.22E+09,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
1068762.915,776379.8566,65078.81955,197.7460046,9314.446248,146585.4082,106789.6722,2.17E+06,,0.49,0.36,0.03,0.00,0.00,0.07,0.05
1831923.375,15127790.19,57452.53876,57452.5387,1831923.373,15127790.18,57452.53864,3.41E+07,,0.05,0.44,0.00,0.00,0.05,0.44,0.00
449740.4308,3524893.909,14350.90754,45.78570595,2156.647857,33940.08597,1483.551752,4.03E+06,,0.11,0.88,0.00,0.00,0.00,0.01,0.00
51315990.78,51315990.38,9362052378,29869064.14,471027630.9,51315990.53,967819572.2,1.10E+10,,0.00,0.00,0.85,0.00,0.04,0.00,0.09
33982703724,3702237384,2154929967,6.75E+11,3702237413,3702237380,2154929967,7.25E+11,,0.05,0.01,0.00,0.93,0.01,0.01,0.00
18884117080,10721766614,1164307090,1164307089,18884117053,10721766615,1164307088,6.27E+10,,0.30,0.17,0.02,0.02,0.30,0.17,0.02
618937.7821,4898069.542,19688.56111,6479566.138,4898069.849,563759.4378,19688.56111,1.75E+07,,0.04,0.28,0.00,0.37,0.28,0.03,0.00
13003.20616,101914.1688,414.9233569,1.323787976,62.35449342,981.2992236,42.89347357,1.16E+05,,0.11,0.88,0.00,0.00,0.00,0.01,0.00
25139823203,2738851901,1594180346,5.00E+11,2738851904,2738851896,1594180346,5.36E+11,,0.05,0.01,0.00,0.93,0.01,0.01,0.00
51894330334,51894330328,93922545430,93922545387,51894330336,51894330328,93922545268,4.89E+11,,0.11,0.11,0.19,0.19,0.11,0.11,0.19
1185299289,6909233.95,75630940.53,241295.9595,7585479.973,60028987.56,7818489.102,1.34E+09,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
417878615,48097114.44,552803931.7,1679728.821,52804652.67,417878611.4,907111578.1,2.40E+09,,0.17,0.02,0.23,0.00,0.02,0.17,0.38
13353715296,13353715266,2.44E+12,7772684041,1.23E+11,13353715281,2.52E+11,2.86E+12,,0.00,0.00,0.85,0.00,0.04,0.00,0.09
13.26915252,112.4466721,0.412404593,0.001249711,0.079564927,1.919972496,6.547096471,1.35E+02,,0.10,0.83,0.00,0.00,0.00,0.01,0.05
943394101.2,102777840.1,59823027.5,18750715281,102777840.2,102777839.8,59823027.5,2.01E+10,,0.05,0.01,0.00,0.93,0.01,0.01,0.00
16809640.37,97985.15804,1072580.506,3422.00349,107575.5226,851317.218,110880.0042,1.91E+07,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
663.6351313,5201.318966,21.17614018,0.0675612,3.182340714,50.08185137,2.189122869,5.94E+03,,0.11,0.88,0.00,0.00,0.00,0.01,0.00
8251983.477,48101.6778,526538.1304,1679.888185,52809.6625,417918.2576,54431.85825,9.35E+06,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
301994.7542,1599495.105,140457.6919,407.3956387,19189.59013,301994.7539,31768261.24,3.41E+07,,0.01,0.05,0.00,0.00,0.00,0.01,0.93
180577.8438,1429033.519,5744.225051,1800449.301,28216907.82,164479.3219,5744.225051,3.18E+07,,0.01,0.04,0.00,0.06,0.89,0.01,0.00
19448577161,19448577095,3.55E+12,11320268674,1.79E+11,19448577114,3.67E+11,4.16E+12,,0.00,0.00,0.85,0.00,0.04,0.00,0.09
941292744.5,102548908.2,59689775.11,18708949130,102548908.3,102548908.1,59689775.11,2.01E+10,,0.05,0.01,0.00,0.93,0.01,0.01,0.00
141226318,823223.0433,9011293.063,28749.9877,903796.5508,7152347.92,931559.1759,1.60E+08,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
3110497475,18131416.21,198472952.5,633215.9984,19906041.05,157529845.8,20517510.5,3.53E+09,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
3259932754,355152577.7,206720655.3,64793781126,355152578,355152577.3,206720655.3,6.95E+10,,0.05,0.01,0.00,0.93,0.01,0.01,0.00
16095283046,1753496681,1020642973,3.20E+11,1753496683,1753496679,1020642973,3.43E+11,,0.05,0.01,0.00,0.93,0.01,0.01,0.00
576972871.8,327585793.8,35573471.76,35573471.81,576972872.7,327585793.8,35573471.72,1.92E+09,,0.30,0.17,0.02,0.02,0.30,0.17,0.02
3520234158,1998670574,217041314.3,217041314.3,3520234158,1998670574,217041314,1.17E+10,,0.30,0.17,0.02,0.02,0.30,0.17,0.02
