,,,,,,,,"* this is necessary because often, the values of some cells are extremely similar",,,,,,,,,,,,,,,,,,,,,,,,
P(Xi|Zj) from Matt,,,,,,,,"Rounded to 3 significant figures, in scientific notation",,,,,,,,,cells containing max value of each row are marked with 1,,,,,,,,,normalises each row to sum to 1,,,,,,
531385.6972,4164798.358,16956.15178,54.09758077,2548.162777,40101.52304,1752.873721,,531000,4160000,17000,54.1,2550,40100,1750,4160000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
78425977060,9026695994,9910190117,315245553.1,9910190103,78425977060,9026696018,,78400000000,9030000000,9910000000,315000000,9910000000,78400000000,9030000000,78400000000,,1,0,0,0,0,1,0,2,,0.5,0,0,0,0,0.5,0
362854765.1,362854763.9,66198962397,211203801.5,3330630843,362854764.3,6843440826,,363000000,363000000,66200000000,211000000,3330000000,363000000,6840000000,66200000000,,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,0
4.65848E+11,4.65848E+11,8.4313E+11,8.4313E+11,4.65848E+11,4.65848E+11,8.4313E+11,,4.66E+11,4.66E+11,8.43E+11,8.43E+11,4.66E+11,4.66E+11,8.43E+11,8.43E+11,,0,0,1,1,0,0,1,3,,0,0,0.333333333,0.333333333,0,0,0.333333333
287689.0317,4527484.837,6107.647742,2105732.176,4527484.845,23979521.97,6107.647742,,288000,4530000,6110,2110000,4530000,24000000,6110,24000000,,0,0,0,0,0,1,0,1,,0,0,0,0,0,1,0
112820531.3,657642.7173,7198791.88,22967.31181,722009.9506,5713748.701,744188.4957,,113000000,658000,7200000,23000,722000,5710000,744000,113000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
10702815729,62387836.05,682919518.6,2178813.583,68494088.47,542039633.5,70598075.03,,10700000000,62400000,683000000,2180000,68500000,542000000,70600000,10700000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
21918.05105,171785.3218,699.3899202,2.231361407,105.1039991,1654.066404,72.3007335,,21900,172000,699,2.23,105,1650,72.3,172000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
2.11521E+11,23044095397,13413081586,4.20415E+12,23044095426,23044095374,13413081586,,2.12E+11,23000000000,13400000000,4.2E+12,23000000000,23000000000,13400000000,4.2E+12,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
153521.2952,1203241.34,4898.758844,15.62919497,736.1832507,11585.6294,506.4183047,,154000,1200000,4900,15.6,736,11600,506,1200000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
18129654.26,13169897.8,1103945.956,3354.407835,158002.9469,2486559.679,1811496.084,,18100000,13200000,1100000,3350,158000,2490000,1810000,18100000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
513546415.8,2993515.964,32768093.92,104544.6297,3286508.387,26008343.8,3387462.637,,514000000,2990000,32800000,105000,3290000,26000000,3390000,514000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
309980378.2,2453082512,9860551.084,309980378.5,2453082512,282345610.1,9860551.084,,310000000,2450000000,9860000,310000000,2450000000,282000000,9860000,2450000000,,0,1,0,0,1,0,0,2,,0,0.5,0,0,0.5,0,0
133858.8969,1049134.964,4271.34525,13.6274697,641.8958212,10101.78796,441.5582582,,134000,1050000,4270,13.6,642,10100,442,1050000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
2.98492E+11,2.98492E+11,2.89568E+12,2.98492E+11,2.98492E+11,2.98492E+11,2.89568E+12,,2.98E+11,2.98E+11,2.9E+12,2.98E+11,2.98E+11,2.98E+11,2.9E+12,2.9E+12,,0,0,1,0,0,0,1,2,,0,0,0.5,0,0,0,0.5
450757863.8,255925155.7,27791639.65,27791639.55,450757862.2,255925155.8,27791639.52,,451000000,256000000,27800000,27800000,451000000,256000000,27800000,451000000,,1,0,0,0,1,0,0,2,,0.5,0,0,0,0.5,0,0
4605986.665,26848.78216,293896.3237,937.6585155,29476.62244,233268.2717,30382.07925,,4610000,26800,294000,938,29500,233000,30400,4610000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
54073912.46,54073911.8,9865205500,31474343.91,496342489.3,54073911.85,1019833962,,54100000,54100000,9870000000,31500000,496000000,54100000,1020000000,9870000000,,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,0
12123753610,1320819392,768798156.1,2.40969E+11,1320819393,1320819376,768798156.1,,12100000000,1320000000,769000000,2.41E+11,1320000000,1320000000,769000000,2.41E+11,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
1598991873,174201779.1,101396155.3,31781247423,174201779.4,174201779,101396155.3,,1600000000,174000000,101000000,31800000000,174000000,174000000,101000000,31800000000,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
21655.68169,169728.9709,691.0178945,2.204650963,103.8458548,1634.266452,71.4352599,,21700,170000,691,2.2,104,1630,71.4,170000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
2365753421,2365753415,4.31606E+11,1377014070,21715165638,2365753418,44618109326,,2370000000,2370000000,4.32E+11,1380000000,21700000000,2370000000,44600000000,4.32E+11,,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,0
129506368.2,754906.2222,8263472.796,26364.11218,828793.1773,6558795.95,854251.8652,,130000000,755000,8260000,26400,829000,6560000,854000,130000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
20320945825,2213860481,1288603034,4.03895E+11,2213860484,2213860479,1288603034,,20300000000,2210000000,1290000000,4.04E+11,2210000000,2210000000,1290000000,4.04E+11,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
1.01021E+12,1.01021E+12,9.27265E+12,5.88002E+11,9.27265E+12,1.01021E+12,1.01021E+12,,1.01E+12,1.01E+12,9.27E+12,5.88E+11,9.27E+12,1.01E+12,1.01E+12,9.27E+12,,0,0,1,0,1,0,0,2,,0,0,0.5,0,0.5,0,0
288143592.1,1679619.244,18385711.59,58658.50524,1844013.127,14592911.91,1900657.122,,288000000,1680000,18400000,58700,1840000,14600000,1900000,288000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
224191247.6,1306834.503,14305074.74,45639.47916,1434741.618,11354072.14,1478813.724,,224000000,1310000,14300000,45600,1430000,11400000,1480000,224000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
69.94720612,1098.388104,1.486561388,0.004729252,0.30109568,7.265706751,1.486561388,,69.9,1100,1.49,0.00473,0.301,7.27,1.49,1100,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
13384777211,13384777175,24224849505,24224850247,13384777178,13384777175,24224849458,,13400000000,13400000000,24200000000,24200000000,13400000000,13400000000,24200000000,24200000000,,0,0,1,1,0,0,1,3,,0,0,0.333333333,0.333333333,0,0,0.333333333
1064509758,1064509755,1.94208E+11,619610184.7,9771096812,1064509756,20076653943,,1060000000,1060000000,1.94E+11,620000000,9770000000,1060000000,20100000000,1.94E+11,,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,0
313363989.5,1659711504,19912023.12,422732.915,19912023.11,313363989.5,1659711507,,313000000,1660000000,19900000,423000,19900000,313000000,1660000000,1660000000,,0,1,0,0,0,0,1,2,,0,0.5,0,0,0,0,0.5
27961403.25,162989.9539,1784146.203,5692.210978,178942.7078,1416093.592,184439.4311,,28000000,163000,1780000,5690,179000,1420000,184000,28000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
27482890.97,217490537.9,874237.4337,274017847.2,4294448240,25032789.46,874237.4337,,27500000,217000000,874000,274000000,4290000000,25000000,874000,4290000000,,0,0,0,0,1,0,0,1,,0,0,0,0,1,0,0
307015499.1,1789625.662,19589880.1,62500.33267,1964786.409,15548671.85,2025140.28,,307000000,1790000,19600000,62500,1960000,15500000,2030000,307000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
6229317037,36311342.83,397476916.4,1268126.157,39865340.41,315481160.3,41089915.29,,6230000000,36300000,397000000,1270000,39900000,315000000,41100000,6230000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
1438380930,8384473.391,91779437.98,292816.7678,9205109.494,72846201.59,9487870.053,,1440000000,8380000,91800000,293000,9210000,72800000,9490000,1440000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
1386468194,151048439,87919486.47,27557168658,151048439.1,151048438.7,87919486.47,,1390000000,151000000,87900000,27600000000,151000000,151000000,87900000,27600000000,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
